,S_Pedro,S_Santiago,S_Juan,S_Andrés,S_Bartolomé,S_Tiago,S_Isca,S_Tadeo,S_Mateo,S_Felipe,S_Simón,S_Tomás
2020-09-23 14:00:00,-1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,1.0,0.0,-1.0
2020-09-23 14:01:00,-1.0,-1.0,0.5,0.0,-1.5,-0.5,0.0,-0.5,-1.5,1.0,-0.5,-1.0
2020-09-23 14:02:00,-0.6666666666666666,-0.6666666666666666,0.3333333333333333,0.0,-1.3333333333333333,-1.0,0.3333333333333333,-0.6666666666666666,-1.6666666666666667,1.3333333333333333,-0.6666666666666666,-1.0
2020-09-23 14:03:00,-0.75,-0.75,0.25,0.0,-1.5,-1.5,0.75,-1.0,-1.75,1.25,-0.5,-1.25
2020-09-23 14:04:00,-0.6,-0.8,0.0,0.2,-1.8,-1.6,1.0,-1.0,-1.8,1.0,-0.6,-1.6
2020-09-23 14:05:00,-0.5,-0.8333333333333334,-0.3333333333333333,0.3333333333333333,-2.0,-1.6666666666666667,1.3333333333333333,-1.0,-1.6666666666666667,0.8333333333333334,-0.8333333333333334,-1.8333333333333333
2020-09-23 14:06:00,-0.42857142857142855,-1.0,-0.5714285714285714,0.2857142857142857,-2.142857142857143,-1.5714285714285714,1.4285714285714286,-0.8571428571428571,-1.4285714285714286,0.5714285714285714,-1.0,-2.142857142857143
2020-09-23 14:07:00,-0.375,-1.25,-0.75,0.125,-2.125,-1.625,1.625,-0.625,-1.375,0.375,-1.25,-2.25
2020-09-23 14:08:00,-0.2222222222222222,-1.3333333333333333,-0.8888888888888888,0.1111111111111111,-2.111111111111111,-1.5555555555555556,1.8888888888888888,-0.4444444444444444,-1.2222222222222223,0.3333333333333333,-1.4444444444444444,-2.3333333333333335
2020-09-23 14:09:00,0.0,-1.5,-1.0,0.0,-2.2,-1.5,2.2,-0.2,-1.0,0.3,-1.5,-2.4
2020-09-23 14:10:00,0.18181818181818182,-1.5454545454545454,-1.1818181818181819,0.0,-2.1818181818181817,-1.5454545454545454,2.5454545454545454,0.0,-0.9090909090909091,0.18181818181818182,-1.4545454545454546,-2.4545454545454546
2020-09-23 14:11:00,0.25,-1.5833333333333333,-1.4166666666666667,0.0,-2.0833333333333335,-1.5,2.8333333333333335,0.25,-0.75,0.16666666666666666,-1.3333333333333333,-2.5
2020-09-23 14:12:00,0.23076923076923078,-1.6923076923076923,-1.5384615384615385,-0.07692307692307693,-2.076923076923077,-1.3846153846153846,3.0,0.38461538461538464,-0.6153846153846154,0.15384615384615385,-1.2307692307692308,-2.4615384615384617
2020-09-23 14:13:00,0.21428571428571427,-1.8571428571428572,-1.5714285714285714,-0.07142857142857142,-2.142857142857143,-1.3571428571428572,3.0714285714285716,0.5,-0.5714285714285714,0.07142857142857142,-1.0714285714285714,-2.5
2020-09-23 14:14:00,0.2,-1.9333333333333333,-1.6666666666666667,-0.13333333333333333,-2.2,-1.4,3.2,0.6666666666666666,-0.5333333333333333,0.06666666666666667,-0.9333333333333333,-2.533333333333333
2020-09-23 14:15:00,0.1875,-2.0625,-1.75,-0.25,-2.3125,-1.5,3.3125,0.8125,-0.5,0.0625,-0.75,-2.5625
2020-09-23 14:16:00,0.11764705882352941,-2.1176470588235294,-1.8235294117647058,-0.29411764705882354,-2.3529411764705883,-1.6470588235294117,3.4705882352941178,0.8823529411764706,-0.4117647058823529,0.058823529411764705,-0.5294117647058824,-2.6470588235294117
2020-09-23 14:17:00,0.05555555555555555,-2.2222222222222223,-1.8333333333333333,-0.3888888888888889,-2.4444444444444446,-1.7222222222222223,3.5555555555555554,0.8888888888888888,-0.2777777777777778,0.0,-0.3333333333333333,-2.6666666666666665
2020-09-23 14:18:00,0.05263157894736842,-2.3684210526315788,-1.8421052631578947,-0.5263157894736842,-2.526315789473684,-1.7894736842105263,3.5789473684210527,0.8421052631578947,-0.21052631578947367,-0.05263157894736842,-0.15789473684210525,-2.6315789473684212
2020-09-23 14:19:00,0.1,-2.45,-1.8,-0.7,-2.65,-1.9,3.55,0.8,-0.15,-0.05,0.0,-2.6
2020-09-23 14:20:00,0.09523809523809523,-2.5238095238095237,-1.8095238095238095,-0.8095238095238095,-2.7142857142857144,-2.0476190476190474,3.5238095238095237,0.7619047619047619,-0.047619047619047616,0.0,0.14285714285714285,-2.5714285714285716
2020-09-23 14:21:00,0.09090909090909091,-2.6363636363636362,-1.8636363636363635,-0.9090909090909091,-2.727272727272727,-2.1818181818181817,3.5,0.6818181818181818,0.045454545454545456,0.09090909090909091,0.2727272727272727,-2.5454545454545454
2020-09-23 14:22:00,0.08695652173913043,-2.739130434782609,-1.9565217391304348,-1.0,-2.6956521739130435,-2.3043478260869565,3.4782608695652173,0.6521739130434783,0.13043478260869565,0.21739130434782608,0.34782608695652173,-2.5217391304347827
2020-09-23 14:23:00,0.125,-2.8333333333333335,-2.0416666666666665,-1.0833333333333333,-2.6666666666666665,-2.4166666666666665,3.4583333333333335,0.5833333333333334,0.16666666666666666,0.2916666666666667,0.375,-2.5
