"Ajo", 945.61, 92
"Zuccini", 89.40, 546
"Higo", 2460.81, 101
"Naranja", 21.00, 830
"Naranja", 20.70, 1110
"Ciruela", 954.27, 882
"Pomelo", 39.55, 720
"Zanahoria", 36.21, 594
"Lima", 1406.90, 204
"Repollo", 4.09, 665
"Palta", 1127.81, 420
"Lima", 1303.81, 174
"Palta", 489.22, 425
"Acelga", 18.64, 810
"Pera", 174.43, 1070
"Lima", 1350.49, 164
"Limon", 309.68, 630
"Palta", 1119.96, 468
"Lechuga", 38.27, 1071
"Limon", 326.29, 742
"Durazno", 284.59, 712
"Tomate", 732.27, 855
"Kiwi", 443.35, 328
"Naranja", 16.48, 1180
"Palta", 1160.86, 340
"Manzana", 163.58, 870
"Manzana", 139.77, 1090
"Acelga", 17.18, 864
"Tomate", 748.00, 918
"Mandarina", 29.99, 880
"Batata", 14.89, 970
"Pepino", 41.04, 515
"Palta", 460.47, 495
"Acelga", 23.60, 1026
"Mandarina", 17.99, 920
"Espárrago", 615.80, 164
"Lima", 1226.72, 230
"Tomate", 770.63, 927
"Kinoto", 24.16, 200
"Alcachofa", 135.03, 279
"Banana", 69.36, 910
"Coliflor", 26.52, 480
"Palta", 509.09, 530
"Palta", 495.00, 550
"Sandía", 56.22, 1062
"Uva", 757.59, 342
"Zuccini", 80.33, 534
"Lima", 1365.48, 164
"Frutilla", 272.02, 321
"Batata", 25.88, 910
"Acelga", 26.84, 783
"Frutilla", 280.55, 330
"Pomelo", 39.13, 819
"Durazno", 250.81, 920
"Lima", 1005.22, 240
"Pera", 147.39, 830
"Tomate", 797.81, 765
"Pomelo", 46.95, 882
"Ajo", 850.29, 117
"Calabaza", 29.21, 904
"Pepino", 40.96, 445
"Coliflor", 34.22, 600
"Rabanito", 230.25, 300
"Frutilla", 275.50, 339
"Choclo", 63.02, 351
"Acelga", 16.55, 792
"Manzana", 144.35, 1130
"Palta", 446.91, 510
"Durazno", 138.70, 656
"Sandía", 54.21, 981
"Papa", 15.79, 820
"Limon", 344.04, 819
"Banana", 71.22, 1110
"Papa", 14.30, 1130
"Naranja", 14.41, 890
"Brócoli", 364.82, 444
"Caqui", 872.49, 99
"Sandía", 54.14, 954
"Mandarina", 25.63, 830
"Manzana", 142.13, 1020
"Naranja", 11.34, 810
"Acelga", 24.16, 963
"Uva", 630.13, 306
"Batata", 21.24, 860
"Mandarina", 16.91, 960
"Caqui", 854.89, 102
"Papa", 17.37, 950
"Ciruela", 929.72, 801
"Brócoli", 376.65, 392
"Zuccini", 77.48, 480
"Ciruela", 982.65, 1062
"Zuccini", 110.55, 528
"Kinoto", 28.80, 192
"Espárrago", 637.69, 210
"Champignon", 3542.05, 98
"Batata", 23.21, 880
"Palta", 497.80, 495
"Lima", 1140.82, 190
"Higo", 2516.23, 109
"Kiwi", 442.76, 352
"Lechuga", 35.36, 1008
"Pera", 151.26, 1190
"Lima", 1341.69, 240
"Zuccini", 88.80, 486
"Repollo", 3.02, 826
"Banana", 78.39, 1020
"Cereza", 1066.69, 202
"Kiwi", 422.70, 444
"Durazno", 259.58, 904
"Naranja", 19.26, 940
"Cereza", 1017.70, 202
"Ciruela", 961.45, 1026
"Caqui", 837.82, 92
"Lechuga", 41.86, 1026
"Pepino", 39.18, 470
"Uva", 725.10, 339
"Acelga", 20.22, 981
"Coliflor", 35.12, 495
"TomCherry", 580.27, 188
"Morrón", 2890.76, 558
"Lima", 1235.11, 210
"Kinoto", 24.17, 204
"Choclo", 51.15, 318
"Morrón", 2985.01, 594
"Ciruela", 955.54, 828
"Limon", 320.14, 686
"Limon", 324.69, 630
"Rabanito", 259.27, 306
"Choclo", 53.92, 294
"Mandarina", 17.65, 1130
"Palta", 1137.49, 412
"Limon", 360.44, 819
"Calabaza", 16.62, 720
"TomCherry", 579.46, 234
"Durazno", 170.93, 944
"Manzana", 140.19, 1150
"Rabanito", 197.60, 288
"Calabaza", 26.00, 728
"Palta", 484.38, 430
"Ajo", 906.98, 93
"Frutilla", 303.50, 324
"Pomelo", 48.37, 819
"Calabaza", 20.68, 648
"Banana", 72.34, 960
"Caqui", 829.22, 91
"Cereza", 1059.04, 232
"Alcachofa", 134.72, 240
"Tomate", 774.77, 720
"Morrón", 2917.21, 684
"Frambuesa", 2095.45, 108
"Pepino", 39.40, 470
"Palta", 460.12, 525
"Durazno", 171.65, 648
"Papa", 15.63, 1160
"Acelga", 19.53, 873
"Berenjena", 56.04, 576
"Mandarina", 18.71, 870
"Pera", 137.23, 1170
"Frutilla", 299.33, 261
"Cereza", 1050.85, 230
"Kinoto", 19.42, 218
"Naranja", 8.12, 920
"Naranja", 17.37, 910
"Durazno", 249.69, 848
"Choclo", 50.37, 348
"Durazno", 183.20, 944
"Kinoto", 34.06, 186
"Cebolla", 65.46, 904
"Pera", 154.33, 800
"Palta", 523.32, 485
"Apio", 52.44, 240
"Champignon", 3665.59, 81
"Brócoli", 314.53, 416
"Coliflor", 29.93, 575
"Frambuesa", 2071.83, 120
"Repollo", 1.40, 840
"Papa", 15.31, 860
"Espárrago", 632.60, 198
"Pepino", 30.58, 495
"Melón", 109.45, 340
"Tomate", 778.55, 765
"Acelga", 25.82, 981
"Kinoto", 37.48, 232
"Apio", 65.73, 252
"Banana", 67.86, 960
"Calabaza", 18.64, 840
"Naranja", 10.49, 1030
"Alcachofa", 160.26, 321
"Sandía", 51.27, 774
"Palta", 1160.01, 480
"Pera", 145.39, 950
"Uva", 695.46, 303
"Kiwi", 399.49, 480
"Tomate", 750.32, 891
"Calabaza", 21.00, 936
"Choclo", 50.69, 255
"Brócoli", 327.82, 432
"Brócoli", 346.20, 464
"Higo", 2480.08, 108
"Berenjena", 64.94, 480
"Palta", 1164.76, 400
"TomCherry", 581.09, 212
"Sandía", 53.61, 999
"Ciruela", 1026.20, 747
"Pomelo", 42.86, 801
"Durazno", 299.52, 936
"Tomate", 718.47, 774
"Alcachofa", 177.27, 318
"Caqui", 842.46, 104
"Higo", 2494.44, 87
"Lima", 1236.65, 190
"Acelga", 23.08, 1017
"Mandarina", 11.11, 1040
"Coliflor", 15.75, 430
"Higo", 2439.08, 117
"Brócoli", 328.89, 444
"Acelga", 23.03, 1044
"Durazno", 186.82, 672
"Ciruela", 967.75, 909
"Higo", 2481.66, 97
"Papa", 19.20, 980
"Lima", 1422.45, 206
"Calabaza", 13.60, 896
"Durazno", 138.93, 920
"Alcachofa", 151.08, 327
"Champignon", 3500.57, 108
"Lima", 1046.93, 204
"Lechuga", 32.44, 765
"Batata", 27.22, 1000
"Palta", 463.61, 475
"Sandía", 63.60, 1008
"Alcachofa", 135.05, 270
"Higo", 2431.38, 83
"Lima", 1341.83, 186
"Mandarina", 22.51, 910
"Champignon", 3586.28, 117
"Sandía", 65.18, 792
"Calabaza", 20.04, 896
"Kiwi", 461.28, 364
"Mandarina", 22.96, 870
"Limon", 333.53, 623
"Uva", 723.04, 309
"Coliflor", 31.26, 565
"Cereza", 1027.98, 198
"Naranja", 8.94, 1040
"Naranja", 11.35, 1110
"Pomelo", 37.26, 999
"Uva", 711.91, 333
"Brócoli", 395.29, 320
"TomCherry", 565.35, 210
"Palta", 497.78, 580
"Palta", 456.11, 400
"Frutilla", 315.92, 273
"Papa", 20.19, 1170
"Batata", 20.88, 810
"Higo", 2504.14, 91
"Choclo", 57.38, 309
"Espárrago", 606.66, 230
"Cereza", 1030.81, 186
"Zanahoria", 37.42, 714
"Brócoli", 353.55, 364
"Tomate", 735.98, 1026
"TomCherry", 548.96, 232
"TomCherry", 563.26, 232
"Uva", 702.56, 243
"Frambuesa", 2077.25, 96
"Melón", 90.35, 376
"Naranja", 19.96, 1160
"Kinoto", 20.51, 162
"Lechuga", 33.37, 783
"Durazno", 272.83, 936
"Kiwi", 427.99, 468
"Espárrago", 621.75, 222
"Mandarina", 14.93, 1170
"Rabanito", 240.69, 288
"Cebolla", 52.07, 936
"Kinoto", 27.11, 204
"Cebolla", 67.82, 792
"Morrón", 2907.19, 714
"Espárrago", 566.67, 234
"Frambuesa", 2139.90, 84
"Berenjena", 71.18, 618
"Berenjena", 46.74, 660
"Choclo", 48.83, 261
"Lechuga", 35.98, 1008
"Sandía", 48.10, 1026
"Frutilla", 300.56, 345
"Higo", 2427.77, 114
"Mandarina", 13.07, 1180
"Zuccini", 75.04, 642
"Zuccini", 86.91, 540
"Lima", 1211.95, 228
"Mandarina", 18.26, 1160
"Calabaza", 18.50, 960
"TomCherry", 580.49, 240
"Frutilla", 305.60, 318
"Naranja", 17.66, 1050
"Pepino", 34.24, 595
"Brócoli", 333.18, 416
"Morrón", 2974.78, 684
"Palta", 492.78, 545
"Limon", 340.52, 756
"Lima", 1219.45, 162
"Palta", 1168.75, 352
"Morrón", 3017.16, 528
"Ciruela", 965.81, 801
"Limon", 310.29, 840
"TomCherry", 547.38, 174
"Mandarina", 14.45, 1150
"Durazno", 145.93, 648
"Ajo", 918.45, 83
"Durazno", 166.48, 736
"Brócoli", 387.74, 468
"Uva", 714.28, 252
"TomCherry", 535.63, 162
"Limon", 310.10, 602
"Melón", 86.62, 388
"Brócoli", 393.31, 328
"Repollo", 3.65, 791
"Durazno", 282.46, 952
"Manzana", 129.13, 1100
"Lechuga", 41.52, 1062
"Manzana", 128.29, 850
"Frutilla", 317.14, 321
"Batata", 22.45, 1060
"Brócoli", 380.15, 420
"Pepino", 36.03, 420
"Durazno", 271.21, 640
"Cereza", 1052.55, 164
"Pera", 153.79, 820
"Ciruela", 952.48, 1026
"Durazno", 154.35, 936
"Kinoto", 30.55, 196
"Cereza", 1006.48, 232
"Durazno", 273.77, 704
"Calabaza", 12.83, 904
"Pomelo", 51.08, 1008
"Mandarina", 19.35, 900
"Mandarina", 18.24, 910
"Rabanito", 235.94, 345
"Lima", 1045.44, 226
"Naranja", 12.39, 1110
"Melón", 109.17, 380
"Acelga", 17.07, 747
"Berenjena", 54.87, 696
"TomCherry", 559.78, 238
"Ajo", 872.89, 83
"Naranja", 21.09, 920
"Rabanito", 190.69, 309
"Kinoto", 32.09, 170
"Ciruela", 1000.45, 1008
"Uva", 704.96, 276
"Frutilla", 279.80, 351
"Banana", 60.21, 1160
"Lechuga", 41.36, 927
"Lechuga", 37.53, 837
"Palta", 1139.84, 456
"Cebolla", 75.86, 768
"Frambuesa", 2084.20, 100
"Cebolla", 74.35, 736
"Berenjena", 64.56, 564
"Cebolla", 76.14, 744
"Banana", 64.06, 1070
"Banana", 63.24, 1020
"Durazno", 168.01, 712
"Melón", 105.35, 404
"Lechuga", 45.96, 945
"Mandarina", 24.21, 1140
"TomCherry", 568.78, 180
"Acelga", 15.44, 747
"Pepino", 37.20, 525
"Melón", 118.26, 436
"Lima", 1326.95, 202
"Durazno", 150.96, 856
"Naranja", 10.00, 1080
"Higo", 2452.40, 85
"Brócoli", 354.92, 332
"Kinoto", 36.83, 226
"Frambuesa", 2042.53, 82
"Palta", 505.29, 560
"Lima", 1171.05, 172
"Brócoli", 361.67, 456
"Lima", 1103.22, 208
"Morrón", 2975.38, 480
"Naranja", 17.09, 940
"Cebolla", 65.88, 952
"Limon", 319.19, 581
"Pera", 167.26, 1030
"Pera", 157.22, 1090
"Pera", 165.08, 1140
"Zanahoria", 29.70, 528
"Manzana", 138.11, 930
"Higo", 2585.36, 93
"Lima", 1139.37, 204
"Pomelo", 50.80, 972
"Durazno", 155.75, 848
"Berenjena", 52.52, 492
"Alcachofa", 149.04, 360
"Naranja", 13.09, 840
"Repollo", 4.28, 707
"Pepino", 48.06, 595
"Cebolla", 53.01, 952
"Lima", 1213.74, 160
"Palta", 1194.71, 388
"Zanahoria", 31.61, 648
"Caqui", 862.04, 98
"Brócoli", 356.43, 444
"Banana", 56.62, 940
"Melón", 101.45, 344
"Durazno", 185.47, 880
"Kiwi", 415.72, 416
"Limon", 304.77, 840
"Rabanito", 193.89, 309
"Lechuga", 37.55, 810
"Tomate", 788.89, 918
"Cereza", 1003.35, 214
"Espárrago", 644.66, 164
"Ciruela", 950.23, 891
"Mandarina", 20.56, 850
"Cereza", 1031.29, 238
"Banana", 80.78, 1140
"Papa", 21.62, 1010
"Uva", 717.95, 300
"Mandarina", 25.42, 920
"Alcachofa", 154.69, 270
"Palta", 1129.01, 436
"Manzana", 137.73, 920
"Lechuga", 41.28, 774
"Caqui", 775.45, 120
